Age,Gender,Item Purchased,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Shipping Type,Promo Code Used,Previous Purchases,Payment Method
30.0,Female,T-shirt,32.31053883178541,Virginia,L,Lavender,Spring,1.0,Standard,No,12,Credit Card
29.0,Male,Socks,30.24697629849633,New York,M,Brick red,Fall,2.0,Standard,No,0,Credit Card
23.0,Female,Sunglasses,39.06815636450797,Idaho,M,Lemon yellow,Summer,5.0,Express,No,9,Credit Card
45.0,Non-binary,Shorts,33.32925704385864,California,M,Black,Fall,4.0,Standard,No,3,Credit Card
50.0,Male,Dress,34.52657083044227,Connecticut,M,Lavender,Spring,4.0,Standard,No,5,Credit Card
37.0,Male,T-shirt,28.367437778218846,Nevada,M,Muted mustard yellow,Summer,2.0,Express,No,7,Credit Card
37.0,Female,Sweater,23.671008170988827,Utah,XL,Muted mustard yellow,Fall,4.0,Standard,No,5,Credit Card
49.0,Male,Sunglasses,30.639120784521104,Louisiana,L,Pale peach,Spring,4.0,Next Day Air,No,2,Credit Card
33.0,Female,Running Shoes,40.044523742171336,Maryland,L,Periwinkle,Summer,5.0,Standard,No,6,Credit Card
19.0,Female,Handbag,29.221767976620992,Massachusetts,XL,Fuchsia,Summer,2.0,Standard,No,16,Credit Card
22.0,Female,Sunglasses,22.956083043287148,California,L,Muted mustard yellow,Spring,4.0,Standard,No,0,Credit Card
29.0,Male,Sunglasses,26.80271406092817,Illinois,L,Baby blue,Summer,5.0,Standard,No,0,Credit Card
24.0,Female,Leggings,31.63510176974121,New York,M,White,Winter,5.0,Express,No,4,Credit Card
58.0,Female,Boots,37.3401368297862,Maine,L,Brick red,Winter,4.0,Standard,No,10,Credit Card
45.0,Female,T-shirt,35.61670874036934,West Virginia,XL,Lemon yellow,Summer,4.0,Next Day Air,No,2,Credit Card
48.0,Female,Pajamas,35.34606960476163,Oregon,M,Muted mustard yellow,Winter,5.0,Standard,No,13,Credit Card
20.0,Male,Handbag,23.06266665909253,Idaho,L,Black,Summer,5.0,Next Day Air,No,1,Credit Card
44.0,Female,Running Shoes,27.640997030471524,Maine,M,Periwinkle,Summer,5.0,Standard,No,1,Credit Card
25.0,Male,Shorts,19.927603459330555,Alaska,L,Pale peach,Summer,4.0,Standard,No,4,Credit Card
42.0,Male,Handbag,25.877164573404308,Florida,L,Aubergine,Fall,5.0,Standard,No,0,Credit Card
21.0,Male,Hoodie,38.1693501023632,Connecticut,M,Black,Winter,5.0,Standard,No,6,Credit Card
32.0,Male,Sunglasses,24.53979787157618,New Mexico,L,Lavender,Summer,1.0,Standard,No,3,Credit Card
34.0,Female,Scarf,29.7092302760342,New Mexico,M,Fuchsia,Winter,4.0,Standard,No,1,Credit Card
20.0,Male,Sunglasses,35.71074124834623,Montana,S,Baby blue,Summer,4.0,Standard,No,11,Credit Card
31.0,Male,Dress,23.677315640557808,Washington,S,Pale peach,Spring,4.0,Standard,No,5,Credit Card
45.0,Female,Running Shoes,30.235221035126788,North Carolina,M,Brown,Summer,4.0,Standard,No,7,Credit Card
29.0,Male,Jacket,27.303045965424992,Illinois,S,Muted mustard yellow,Winter,5.0,Standard,No,15,Credit Card
50.0,Male,Jacket,35.85428147078736,Illinois,M,Ruby Red,Fall,5.0,Standard,No,10,Credit Card
32.0,Female,Running Shoes,33.075367326773005,Rhode Island,L,Baby blue,Spring,2.0,Next Day Air,No,6,Credit Card
47.0,Male,Sunglasses,27.906078244689127,Minnesota,M,Lavender,Spring,4.0,Standard,No,7,Credit Card
28.0,Female,Running Shoes,32.51461467860084,Ohio,L,White,Summer,4.0,Express,No,1,Credit Card
26.0,Male,Leggings,35.06034735330029,Nevada,L,Mauve,Winter,5.0,Standard,No,20,Credit Card
37.0,Non-binary,Running Shoes,43.164845311694,Delaware,M,Terra cotta,Summer,5.0,Standard,No,0,Credit Card
51.0,Female,Boots,32.97980924379722,North Carolina,M,Black,Winter,4.0,Standard,No,12,Credit Card
29.0,Female,Running Shoes,32.13484146763228,Virginia,M,Baby blue,Summer,4.0,Express,No,14,Credit Card
43.0,Female,Dress,20.36306507686774,Minnesota,L,Pale peach,Summer,5.0,Standard,No,0,Credit Card
25.0,Male,Backpack,32.737386042386795,Michigan,M,Aubergine,Fall,5.0,Standard,No,13,Credit Card
28.0,Male,Socks,19.76200780215793,Louisiana,M,Burnt orange,Fall,5.0,Standard,No,1,Credit Card
45.0,Male,Sunglasses,16.873628536862633,Illinois,L,Turquoise,Spring,5.0,Standard,No,7,Credit Card
20.0,Male,Scarf,30.71379163312676,Washington,M,Brick red,Winter,5.0,Standard,No,1,Credit Card
26.0,Female,Sweater,37.24857454056908,New York,S,Burnt orange,Winter,4.0,Standard,No,6,Credit Card
30.0,Female,Sunglasses,22.604009902230608,Texas,S,Fuchsia,Summer,4.0,Standard,No,1,Credit Card
49.0,Male,Boots,29.00904144240539,Kentucky,M,Aubergine,Winter,4.0,Standard,No,10,Credit Card
34.0,Male,Sweater,33.89884212456443,Vermont,M,Black,Fall,4.0,Next Day Air,No,13,Credit Card
38.0,Female,Handbag,34.80813862932214,Nebraska,L,Lemon yellow,Summer,5.0,Standard,No,3,Credit Card
27.0,Male,Sweater,25.40325126235862,Utah,M,Aubergine,Fall,4.0,Standard,No,1,Credit Card
42.0,Male,Boots,35.240084932635725,Missouri,L,Black,Fall,2.0,Standard,No,12,Credit Card
34.0,Male,Scarf,30.11403526470311,South Carolina,M,Black,Fall,5.0,Express,No,0,Credit Card
41.0,Female,Backpack,15.300091040285746,Idaho,M,Black,Winter,4.0,Standard,No,5,Credit Card
20.0,Male,Handbag,21.394544026365807,Ohio,M,Terra cotta,Fall,4.0,Express,No,0,Credit Card
43.0,Female,Jacket,18.08689806647588,Nebraska,L,Burnt orange,Winter,4.0,Standard,No,0,Credit Card
27.0,Female,Socks,26.26714566549676,South Carolina,L,Aubergine,Winter,5.0,Standard,No,7,Credit Card
36.0,Male,Scarf,34.541838784226734,North Dakota,M,Aubergine,Winter,5.0,Standard,No,1,Credit Card
22.0,Female,Leggings,35.13033677855485,Maine,S,Muted mustard yellow,Winter,4.0,Standard,No,0,Credit Card
29.0,Male,Belt,39.179154153415176,Alabama,S,Brown,Fall,4.0,Express,No,2,Credit Card
33.0,Female,Socks,28.25452456812305,New Hampshire,M,Mauve,Fall,2.0,Standard,No,2,Credit Card
31.0,Male,T-shirt,33.83093549355802,North Dakota,M,Periwinkle,Spring,4.0,Standard,No,5,Credit Card
47.0,Female,Scarf,36.41747044237187,California,M,Terra cotta,Winter,4.0,Standard,No,3,Credit Card
34.0,Female,Pajamas,22.36094544524364,New York,S,Black,Fall,4.0,Standard,No,7,Credit Card
57.0,Female,Backpack,38.11306304146123,Iowa,M,Brick red,Fall,5.0,Standard,No,20,Credit Card
40.0,Male,Sweater,32.90314448759637,California,L,Mauve,Winter,4.0,Standard,No,19,Credit Card
33.0,Male,Running Shoes,39.93827560967348,New York,M,Turquoise,Spring,2.0,Standard,No,9,Credit Card
26.0,Male,Dress,30.957114080962054,California,S,Baby blue,Summer,4.0,Standard,No,7,Credit Card
36.0,Male,Sweater,32.31441803509192,Alabama,M,Brown,Fall,1.0,Standard,No,7,Credit Card
29.0,Female,Boots,34.028043309200434,Connecticut,L,Lavender,Fall,4.0,Standard,No,4,Credit Card
49.0,Female,Backpack,26.96772632820487,Hawaii,S,Brown,Fall,5.0,Standard,No,0,Credit Card
29.0,Male,Jacket,34.3670847032577,Maine,M,Brown,Winter,5.0,Standard,No,3,Credit Card
23.0,Female,Jacket,18.068249349242517,New York,XL,Brown,Winter,5.0,Express,No,6,Credit Card
37.0,Female,Dress,26.77753289584933,Oregon,S,Lemon yellow,Spring,4.0,Standard,No,1,Credit Card
28.0,Male,Scarf,17.93021292427258,Oklahoma,M,Ruby Red,Winter,4.0,Standard,No,13,Credit Card
48.0,Male,Pajamas,35.39363899019097,New Mexico,M,Burnt orange,Fall,5.0,Standard,No,4,Credit Card
22.0,Female,Boots,28.6090337998459,Georgia,M,Brick red,Winter,5.0,Express,No,9,Credit Card
47.0,Male,Hoodie,27.559962431505173,Connecticut,L,Brown,Fall,4.0,Standard,No,20,Credit Card
31.0,Female,Running Shoes,22.517249210894548,Montana,M,Turquoise,Summer,5.0,Standard,No,1,Credit Card
41.0,Male,Handbag,33.80793598809683,Montana,L,Turquoise,Spring,5.0,Standard,No,2,Credit Card
33.0,Female,Dress,31.276111284040365,Maryland,M,Burnt orange,Fall,4.0,Next Day Air,No,8,Credit Card
33.0,Male,Scarf,21.974818475775077,Wisconsin,M,Brown,Winter,4.0,Next Day Air,No,6,Credit Card
36.0,Female,Jacket,31.08680193252778,Connecticut,M,Mauve,Fall,4.0,Standard,No,9,Credit Card
34.0,Female,Socks,29.711956115859344,Missouri,M,Aubergine,Winter,4.0,Standard,No,0,Credit Card
35.0,Female,Dress,32.360080208426005,Nebraska,M,Turquoise,Summer,4.0,Standard,No,9,Credit Card
36.0,Female,Shorts,33.81249968783882,Missouri,L,Lemon yellow,Summer,5.0,Standard,No,9,Credit Card
33.0,Male,Running Shoes,34.46695791555127,Colorado,L,Baby blue,Spring,5.0,Standard,No,14,Credit Card
35.0,Female,Sweater,33.23574936001322,South Carolina,M,Muted mustard yellow,Winter,4.0,Standard,No,12,Credit Card
33.0,Female,Running Shoes,25.63897831004041,Nebraska,M,Pale peach,Summer,4.0,Standard,No,14,Credit Card
19.0,Female,Sunglasses,32.49123356164221,Pennsylvania,L,Burnt orange,Fall,4.0,Standard,No,1,Credit Card
46.0,Male,Sweater,24.15592618861912,Alaska,M,Black,Winter,2.0,Express,No,7,Credit Card
20.0,Male,Jacket,33.47400783650785,West Virginia,L,Terra cotta,Winter,4.0,Standard,No,2,Credit Card
34.0,Male,Sunglasses,33.05534823245983,Mississippi,S,Black,Fall,5.0,Standard,No,18,Credit Card
33.0,Female,Leggings,36.23326502357638,Hawaii,L,Burnt orange,Winter,5.0,Standard,No,20,Credit Card
26.0,Female,Sweater,33.188807797595885,Virginia,M,Ruby Red,Winter,5.0,Express,No,6,Credit Card
22.0,Female,Socks,24.34705525582904,Tennessee,M,Ruby Red,Fall,5.0,Standard,No,8,Credit Card
23.0,Male,Pajamas,20.4856226679141,Alaska,L,Mauve,Winter,5.0,Standard,No,0,Credit Card
24.0,Female,T-shirt,36.19250764989509,Iowa,M,Lavender,Spring,2.0,Next Day Air,No,2,Credit Card
22.0,Male,Sunglasses,36.268301071651095,Virginia,M,Periwinkle,Spring,1.0,Standard,No,7,Credit Card
29.0,Female,Pajamas,35.10988023473595,Idaho,M,Ruby Red,Fall,2.0,Standard,No,6,Credit Card
25.0,Male,Handbag,36.31385588245071,Rhode Island,L,Baby blue,Summer,4.0,Standard,No,12,Credit Card
43.0,Female,Shorts,24.402182225120427,Illinois,M,Muted mustard yellow,Summer,4.0,Standard,No,9,Credit Card
49.0,Male,Sunglasses,25.39126018533215,California,M,Baby blue,Spring,4.0,Express,No,5,Credit Card
43.0,Non-binary,Hoodie,27.07081579742232,Washington,M,Terra cotta,Winter,5.0,Standard,No,20,Credit Card
37.0,Female,Scarf,22.57343549318108,Colorado,M,Burnt orange,Winter,4.0,Standard,No,0,Credit Card
35.0,Female,T-shirt,33.263762353248225,Ohio,M,White,Summer,4.0,Standard,No,5,Credit Card
41.0,Female,Shorts,25.29858685092677,Kansas,S,Fuchsia,Summer,4.0,Standard,No,12,Credit Card
48.0,Female,Sweater,26.28762677551835,Maine,M,Black,Winter,2.0,Express,No,1,Credit Card
23.0,Female,Pajamas,45.38086719302491,Montana,S,Brick red,Winter,2.0,Next Day Air,No,10,Credit Card
20.0,Male,Sweater,29.000262932514374,Tennessee,M,Muted mustard yellow,Winter,5.0,Express,No,0,Credit Card
52.0,Female,Shorts,38.07059939203559,Nebraska,XL,Baby blue,Summer,4.0,Standard,No,11,Credit Card
19.0,Female,Sweater,34.93686886665813,Wisconsin,S,Ruby Red,Winter,4.0,Standard,No,2,Credit Card
32.0,Male,Jeans,23.44203965826418,Oregon,M,Brick red,Fall,4.0,Standard,No,10,Credit Card
49.0,Female,Dress,40.837339149236016,Louisiana,M,Brick red,Fall,2.0,Next Day Air,No,7,Credit Card
25.0,Male,Shorts,36.53891147454765,Oklahoma,L,Lemon yellow,Spring,5.0,Express,No,20,Credit Card
31.0,Male,T-shirt,33.75702431749992,Nebraska,XL,Lemon yellow,Summer,2.0,Standard,No,3,Credit Card
41.0,Female,Dress,35.40246362160854,Iowa,L,White,Summer,5.0,Standard,No,5,Credit Card
20.0,Female,Dress,32.6887243790267,Colorado,L,White,Summer,5.0,Standard,No,20,Credit Card
32.0,Male,Handbag,31.55496260929433,Arizona,M,Mauve,Fall,5.0,Standard,No,3,Credit Card
23.0,Female,Handbag,23.43049636659993,Alaska,M,Aubergine,Fall,5.0,Express,No,20,Credit Card
42.0,Male,Socks,24.188052801459143,Maryland,M,Ruby Red,Fall,5.0,Standard,No,1,Credit Card
47.0,Female,T-shirt,36.131613074184266,Michigan,M,Pale peach,Summer,4.0,Standard,No,0,Credit Card
36.0,Male,Shorts,17.67492911220733,West Virginia,S,Fuchsia,Spring,1.0,Standard,No,0,Credit Card
23.0,Male,Running Shoes,19.7677409509696,North Carolina,S,Lemon yellow,Summer,2.0,Standard,No,0,Credit Card
50.0,Female,Gloves,23.648943840332723,Minnesota,L,Burnt orange,Winter,1.0,Standard,No,3,Credit Card
39.0,Female,Leggings,34.29065445805483,Tennessee,M,Brown,Winter,2.0,Standard,No,11,Credit Card
38.0,Female,Sunglasses,28.23853968085062,Florida,L,Lavender,Spring,4.0,Standard,No,20,Credit Card
26.0,Male,Sweater,27.894021216137716,Indiana,L,Ruby Red,Fall,2.0,Standard,No,2,Credit Card
27.0,Male,Jacket,15.591736336324058,Connecticut,L,Black,Fall,1.0,Standard,No,1,Credit Card
58.0,Male,Sunglasses,29.19164607045077,Maryland,M,Periwinkle,Summer,4.0,Next Day Air,No,20,Credit Card
20.0,Male,Boots,30.71453734198572,New Hampshire,M,Aubergine,Fall,4.0,Standard,No,20,Credit Card
38.0,Non-binary,Handbag,28.399280716694992,Ohio,S,Turquoise,Summer,4.0,Standard,No,20,Credit Card
29.0,Male,Sweater,29.80759020714337,Indiana,M,Brown,Winter,5.0,Standard,No,6,Credit Card
33.0,Male,Running Shoes,29.85959232977977,Ohio,L,Lemon yellow,Summer,1.0,Standard,No,0,Credit Card
30.0,Male,Running Shoes,29.242763905325635,New York,XL,Lavender,Summer,4.0,Express,No,3,Credit Card
27.0,Female,Gloves,41.40343546792713,Iowa,M,Black,Winter,4.0,Standard,No,1,Credit Card
20.0,Female,Sunglasses,29.978609435133865,Washington,XL,White,Summer,5.0,Standard,No,12,Credit Card
39.0,Male,T-shirt,25.995737134490334,Mississippi,M,Baby blue,Summer,2.0,Express,No,8,Credit Card
34.0,Female,Boots,24.292742404450436,Nebraska,S,Mauve,Fall,4.0,Standard,No,15,Credit Card
21.0,Female,Socks,39.31283600764261,Utah,L,Aubergine,Winter,4.0,Standard,No,10,Credit Card
20.0,Female,Running Shoes,28.465988692012825,Tennessee,XL,Lavender,Spring,2.0,Express,No,9,Credit Card
26.0,Male,Scarf,32.211492153333445,Connecticut,M,Burnt orange,Winter,4.0,Standard,No,5,Credit Card
33.0,Male,Dress,31.40161315768583,Tennessee,L,Baby blue,Summer,5.0,Standard,No,5,Credit Card
33.0,Male,Sunglasses,25.943626359930136,Alabama,L,Fuchsia,Summer,4.0,Standard,No,0,Credit Card
26.0,Male,Shorts,30.28000767106209,California,L,Turquoise,Summer,2.0,Standard,No,13,Credit Card
64.0,Female,Sunglasses,36.59148323378413,Arkansas,XL,Pale peach,Spring,4.0,Standard,No,20,Bank Transfer
34.0,Male,T-shirt,30.00269694197208,Oregon,S,Baby blue,Spring,5.0,Standard,No,3,Credit Card
52.0,Male,Dress,36.07553959416034,Iowa,XL,Ruby Red,Fall,4.0,Standard,No,16,Credit Card
29.0,Female,Gloves,41.54057029465034,Massachusetts,S,Burnt orange,Fall,5.0,Standard,No,11,Credit Card
20.0,Female,Handbag,37.35118304067838,Utah,S,Baby blue,Summer,5.0,Standard,No,12,Credit Card
31.0,Male,Leggings,32.52024647078097,Indiana,M,Brown,Winter,4.0,Standard,No,15,Credit Card
36.0,Male,Pajamas,26.71097628931089,New York,L,Brick red,Winter,4.0,Standard,No,1,Credit Card
56.0,Male,Boots,26.640960710589223,Idaho,M,Burnt orange,Fall,4.0,Standard,No,20,Credit Card
23.0,Male,T-shirt,33.192073069614075,Massachusetts,M,Fuchsia,Summer,2.0,Standard,No,13,Credit Card
46.0,Female,Dress,26.61336751777926,Washington,M,Turquoise,Spring,4.0,Standard,No,3,Credit Card
37.0,Male,Leggings,32.55387798509052,Delaware,M,Black,Winter,2.0,Express,No,8,Credit Card
33.0,Female,Running Shoes,29.594468773111117,Hawaii,L,Fuchsia,Summer,4.0,Standard,No,20,Credit Card
26.0,Female,Sweater,33.37127448793256,Rhode Island,S,Terra cotta,Fall,4.0,Standard,No,8,Credit Card
30.0,Male,Sweater,29.05329796383061,West Virginia,L,Terra cotta,Winter,5.0,Express,No,1,Credit Card
23.0,Female,Socks,26.846747952376887,Maryland,XL,Terra cotta,Fall,5.0,Express,No,11,Credit Card
39.0,Male,Hoodie,27.41556267922011,Arkansas,L,Ruby Red,Winter,4.0,Express,No,0,Credit Card
21.0,Female,Sunglasses,32.811350088618624,Maryland,L,Lemon yellow,Spring,4.0,Standard,No,6,Credit Card
22.0,Female,Leggings,18.634807715632057,Vermont,M,Aubergine,Winter,5.0,Standard,No,1,Credit Card
33.0,Male,Handbag,20.645417270030897,Nebraska,XL,Turquoise,Summer,4.0,Standard,No,0,Credit Card
30.0,Male,Backpack,25.627169284822592,Wyoming,XL,Baby blue,Fall,4.0,Standard,No,0,Credit Card
52.0,Male,Scarf,21.008904608663222,North Dakota,XL,Brick red,Fall,4.0,Standard,No,4,Credit Card
25.0,Female,Hoodie,30.10291472776347,Virginia,M,Ruby Red,Fall,5.0,Standard,No,4,Credit Card
29.0,Female,Running Shoes,29.87851147097638,Massachusetts,S,White,Spring,2.0,Next Day Air,No,2,Credit Card
32.0,Male,Running Shoes,21.74409273591104,Kentucky,L,Baby blue,Summer,4.0,Standard,No,1,Credit Card
28.0,Male,Gloves,35.43516758216997,New Hampshire,M,Black,Fall,2.0,Standard,No,8,Credit Card
42.0,Female,Hoodie,32.64337798656192,Alaska,S,Mauve,Fall,4.0,Standard,No,9,Credit Card
24.0,Male,Backpack,27.00327299362688,Virginia,M,Burnt orange,Winter,2.0,Standard,No,3,Credit Card
43.0,Female,Hoodie,31.132101336953355,California,M,Lemon yellow,Winter,4.0,Standard,No,6,Credit Card
22.0,Male,Leggings,27.757043533165188,Michigan,S,Muted mustard yellow,Fall,2.0,Next Day Air,No,19,Credit Card
43.0,Female,T-shirt,32.56964930716329,Maine,XL,Turquoise,Summer,4.0,Next Day Air,No,10,Credit Card
31.0,Male,Backpack,30.122034046930445,Missouri,M,Ruby Red,Winter,4.0,Express,No,20,Credit Card
41.0,Male,Shorts,36.37436337027161,Wyoming,L,Lavender,Summer,5.0,Standard,No,0,Credit Card
25.0,Female,Handbag,40.525973312923306,Iowa,S,Lemon yellow,Summer,1.0,Standard,No,0,Credit Card
73.0,Female,Backpack,32.251502508792015,Oregon,L,Black,Winter,2.0,Standard,No,7,Cash
69.0,Male,Sunglasses,27.81470726829369,Nebraska,M,Fuchsia,Spring,4.0,Next Day Air,No,20,Cash
49.0,Male,Backpack,27.316045537821108,Michigan,M,Muted mustard yellow,Winter,4.0,Standard,No,8,Credit Card
23.0,Female,Handbag,30.2526300650886,Illinois,S,Muted mustard yellow,Fall,2.0,Standard,No,0,Credit Card
35.0,Male,Hoodie,23.63491832530552,Alaska,XL,Burnt orange,Winter,2.0,Next Day Air,No,2,Credit Card
39.0,Male,Pajamas,24.07532499031964,Alabama,M,Brick red,Winter,5.0,Standard,No,3,Credit Card
35.0,Male,Hoodie,16.27615473827482,Delaware,S,Mauve,Winter,2.0,Next Day Air,No,10,Credit Card
25.0,Female,Sweater,34.388452858236214,Louisiana,M,Baby blue,Winter,2.0,Standard,No,2,Credit Card
24.0,Male,Boots,20.101003932179477,Alabama,L,Aubergine,Winter,5.0,Standard,No,1,Credit Card
50.0,Male,Pajamas,37.64166831870577,Utah,M,Black,Winter,5.0,Standard,No,17,Credit Card
30.0,Male,Pajamas,37.61878904061404,New Hampshire,S,Muted mustard yellow,Winter,4.0,Standard,No,11,Credit Card
29.0,Male,Sweater,21.715260228844954,Delaware,L,Burnt orange,Winter,4.0,Express,No,4,Credit Card
37.0,Female,T-shirt,21.13772965783056,Nevada,M,Periwinkle,Summer,4.0,Standard,No,17,Credit Card
30.0,Female,Pajamas,38.16665817412133,New York,M,Pale peach,Winter,5.0,Standard,No,20,Credit Card
56.0,Female,Boots,22.97056282672426,Maryland,S,Terra cotta,Winter,4.0,Standard,No,13,Credit Card
32.0,Male,Socks,21.98465979914712,Iowa,XL,Brown,Fall,4.0,Standard,No,0,Credit Card
56.0,Female,Dress,27.64133765147405,Nebraska,M,Black,Fall,4.0,Standard,No,8,Credit Card
30.0,Male,T-shirt,41.44821821800684,Georgia,XL,Baby blue,Summer,4.0,Standard,No,2,Credit Card
28.0,Female,Shorts,39.09552081005795,New Mexico,XL,Lemon yellow,Summer,4.0,Next Day Air,No,2,Credit Card
29.0,Male,Shorts,18.78698392058778,Wisconsin,L,Periwinkle,Summer,1.0,Standard,No,2,Credit Card
30.0,Female,Running Shoes,24.97336400098172,Colorado,L,Terra cotta,Fall,4.0,Standard,No,6,Credit Card
33.0,Female,Handbag,24.161187771501275,Alaska,XL,Fuchsia,Summer,4.0,Standard,No,8,Credit Card
59.0,Male,Running Shoes,37.54146025914602,Illinois,M,Turquoise,Summer,2.0,Standard,No,0,Credit Card
38.0,Male,Sweater,34.6934415674016,Texas,L,Muted mustard yellow,Fall,4.0,Standard,No,4,Credit Card
29.0,Female,Handbag,30.50904769299817,Maine,M,Pale peach,Spring,4.0,Standard,No,14,Credit Card
33.0,Male,Running Shoes,36.90360898631727,Virginia,M,Lemon yellow,Summer,4.0,Express,No,20,Credit Card
43.0,Male,Running Shoes,26.29693293614861,Arkansas,M,Aubergine,Fall,4.0,Standard,No,9,Credit Card
23.0,Female,T-shirt,31.850750197701693,Illinois,M,Turquoise,Summer,4.0,Standard,No,4,Credit Card
20.0,Male,Pajamas,31.95209632864207,Minnesota,L,Burnt orange,Winter,5.0,Standard,No,0,Credit Card
52.0,Male,Handbag,29.41784597926584,Illinois,XL,Ruby Red,Fall,5.0,Standard,No,5,Credit Card
36.0,Female,Scarf,33.33577246311631,Rhode Island,S,Brown,Fall,5.0,Standard,No,15,Credit Card
53.0,Female,Running Shoes,24.78996194541696,Oklahoma,S,Pale peach,Summer,4.0,Standard,No,0,Credit Card
48.0,Male,Dress,34.67241992878048,Texas,XL,Periwinkle,Summer,5.0,Standard,No,9,Credit Card
48.0,Female,Sunglasses,33.12589903245277,Massachusetts,M,Pale peach,Spring,2.0,Standard,No,4,Credit Card
48.0,Female,Dress,27.929451201597352,Connecticut,M,Fuchsia,Summer,5.0,Standard,No,14,Credit Card
18.0,Male,Hoodie,21.113628551214152,Georgia,S,Aubergine,Fall,5.0,Standard,No,13,Debit Card
51.0,Female,Scarf,30.72237401378595,Maryland,L,Terra cotta,Fall,4.0,Standard,No,1,Debit Card
19.0,Male,Leggings,38.26311064256019,New Hampshire,L,Muted mustard yellow,Fall,4.0,Next Day Air,No,17,Debit Card
32.0,Female,Gloves,29.874618086430512,Maine,S,Brick red,Fall,4.0,Standard,No,1,Debit Card
38.0,Female,T-shirt,25.53299785774388,Maine,M,Lavender,Spring,5.0,Standard,No,0,Debit Card
48.0,Male,Hoodie,32.072612917401244,South Dakota,L,Black,Winter,4.0,Standard,No,10,Debit Card
53.0,Male,Dress,33.05986273961111,Tennessee,M,Lemon yellow,Summer,4.0,Standard,No,5,Debit Card
43.0,Male,Hoodie,36.177160422325215,Idaho,M,Fuchsia,Winter,4.0,Standard,No,8,Debit Card
26.0,Female,Jacket,35.34472971938935,Maine,M,Ruby Red,Fall,5.0,Standard,No,4,Debit Card
49.0,Male,Gloves,33.994816395716065,Arkansas,M,Mauve,Winter,4.0,Express,No,9,Debit Card
62.0,Female,Running Shoes,29.65271060911587,New Mexico,M,Pale peach,Summer,4.0,Standard,No,5,Cash
48.0,Female,Handbag,32.26440361587806,Missouri,S,White,Spring,4.0,Standard,No,0,Debit Card
28.0,Female,T-shirt,14.805457435936855,North Carolina,M,Lemon yellow,Summer,4.0,Standard,No,2,Debit Card
